-50;-197;1286
-49;-182;1404
-48;-180;1612
-47;-169;1543
-46;-166;1354
-45;-186;1578
-44;-192;997
-43;-128;1128
-42;-176;882
-41;-167;1172
-40;-161;1334
-39;-123;770
-38;-134;1373
-37;-157;1360
-36;-168;850
-35;-112;662
-34;-121;1012
-33;-131;709
-32;-105;815
-31;-146;701
-30;-140;-32
-29;-171;562
-28;-99;223
-27;-102;626
-26;-98;494
-25;-87;471
-24;-103;861
-23;-111;725
-22;-118;468
-21;-28;562
-20;-73;279
-19;-64;368
-18;-71;240
-17;-62;951
-16;5;-42
-15;-68;-24
-14;-73;-68
-13;-1;-124
-12;-6;500
-11;-41;165
-10;-38;313
-9;-43;244
-8;-4;49
-7;-20;338
-6;-26;201
-5;-39;288
-4;-31;68
-3;18;-299
-2;48;-154
-1;-44;208
0;-19;35
1;-13;335
2;0;-513
3;-41;423
4;2;384
5;52;117
6;11;-168
7;-1;18
8;21;186
9;12;357
10;9;-25
11;45;139
12;40;-155
13;66;29
14;38;74
15;43;197
16;64;271
17;62;-179
18;53;-14
19;78;185
20;36;-106
21;81;-90
22;88;126
23;94;-229
24;70;-76
25;125;169
26;125;373
27;101;313
28;87;218
29;93;3
30;116;200
31;160;579
32;118;319
33;150;-57
34;108;446
35;155;309
36;140;618
37;105;702
38;154;116
39;172;656
40;166;655
41;163;689
42;163;619
43;184;890
44;159;594
45;144;926
46;188;1031
47;205;919
48;198;1084
49;187;853
